use_layerwise_dropout_batchnorm,second_dense_units,padding,output_layer_activation,optimizer,num_layers,num_filters,learning_rate,l2_r,l1_r,growth_sequence,first_dense_units,filter_size,epochs,dropout_rate,dropout_T_bn_F,dense_activation,cnn_activation,batch_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,confusion_matrix
True,160,same,sigmoid,adam,1,70,0.005,0.0,0.001,[1],262,56,50,0.001,False,tanh,relu,48,0.7230296731,0.498564064503,0.498564064503,1.0,0.901776373386,0.0754830911756,0.0754830911756,1.0,"[[   0 3062]
 [   0  250]]"
False,194,same,sigmoid,sgd,3,78,0.01,0.1,0.0,"[1, 8, 16]",266,40,50,0.0,False,tanh,relu,256,14.9814167023,0.616406261921,0.698232293129,0.406179606915,14.9811286926,0.783954381943,0.150375947356,0.393700778484,"[[2499  575]
 [ 164   90]]"
True,220,same,sigmoid,adam,3,62,0.005,0.0001,0.1,"[1, 2, 4]",274,72,50,0.01,False,relu,tanh,48,18.794921875,0.80704832077,0.809134781361,0.802342653275,18.7945404053,0.799516916275,0.244471743703,0.802419304848,"[[2430  632]
 [  76  174]]"
False,224,same,sigmoid,adam,2,72,0.005,0.0001,0.0001,"[1, 1]",256,40,50,0.1,False,relu,relu,64,0.703355491161,0.498648285866,0.498648285866,1.00000011921,0.723367512226,0.0763221159577,0.0763221159577,1.0,"[[   0 3074]
 [   0  254]]"
False,246,same,sigmoid,sgd,2,62,0.005,0.01,0.0,"[1, 8]",278,50,50,0.001,False,relu,tanh,256,1.67863237858,0.649780273438,0.710253715515,0.50098067522,1.6730080843,0.762019276619,0.156565651298,0.5,"[[2399  675]
 [ 134  120]]"
False,182,same,sigmoid,sgd,3,62,0.0001,0.1,0.001,"[1, 4, 8]",290,62,50,0.1,True,tanh,relu,128,57.284362793,0.53658002615,0.819303691387,0.0907271876931,57.2823448181,0.908353388309,0.20000000298,0.0669291317463,"[[3001   73]
 [ 238   16]]"
True,234,same,sigmoid,adam,3,78,0.0001,0.001,0.0,"[1, 4, 8]",254,72,50,0.001,True,relu,relu,128,0.231164246798,0.91649633646,0.934049189091,0.895802855492,0.297027796507,0.894831776619,0.408396959305,0.842519700527,"[[2767  307]
 [  41  213]]"
True,260,same,sigmoid,adam,3,72,0.0001,0.01,0.0001,"[1, 4, 8]",260,76,50,0.1,True,tanh,relu,256,,,,,,,,,
False,198,same,sigmoid,sgd,2,64,0.01,0.0,0.001,"[1, 2]",290,42,50,0.01,False,tanh,tanh,48,0.578618705273,0.737782359123,0.751788854599,0.707751631737,0.573309600353,0.746376812458,0.183476388454,0.684000015259,"[[2290  772]
 [  89  161]]"
False,252,same,sigmoid,sgd,1,70,0.005,0.001,0.01,[1],252,66,50,0.0,False,tanh,relu,128,1.41402053833,0.58829832077,0.560642063618,0.80629581213,1.41579771042,0.39332935214,0.0931304767728,0.795275568962,"[[1114 1960]
 [  47  207]]"
False,256,same,sigmoid,sgd,1,60,0.01,0.0,0.001,[1],256,54,50,0.2,False,relu,tanh,256,0.722701013088,0.664331078529,0.715105414391,0.543139755726,0.716167986393,0.750901460648,0.157330155373,0.519685029984,"[[2363  711]
 [ 128  126]]"
False,256,same,sigmoid,sgd,2,72,0.005,0.1,0.0001,"[1, 8]",256,44,50,0.01,False,tanh,relu,48,,,,,,,,,
False,190,same,sigmoid,adam,2,66,0.01,0.0,0.1,"[1, 4]",270,70,50,0.2,True,tanh,relu,48,,,,,,,,,
True,258,same,sigmoid,sgd,1,66,0.01,0.0001,0.001,[1],288,70,50,0.2,True,relu,tanh,64,0.640010237694,0.691077709198,0.733596980572,0.597510993481,0.600834906101,0.755108177662,0.171929821372,0.578740179539,"[[2366  708]
 [ 107  147]]"
True,196,same,sigmoid,sgd,2,64,0.0001,0.1,0.0,"[1, 4]",256,50,50,0.2,False,tanh,tanh,128,9.32647132874,0.838152289391,0.837626814842,0.83787214756,9.43101787567,0.759014427662,0.204741373658,0.748031497002,"[[2230  749]
 [ 103  137]]"
True,240,same,sigmoid,sgd,2,60,0.01,0.0,0.0001,"[1, 4]",292,68,50,0.0,True,relu,relu,48,0.586167037487,0.817318975925,0.811157941818,0.825963914394,0.590856492519,0.798309147358,0.251489877701,0.84063744545,"[[2423  639]
 [  57  193]]"
False,194,same,sigmoid,adam,1,78,0.0025,0.0001,0.0,[1],262,66,50,0.0,True,tanh,tanh,256,0.0437153354287,0.990429699421,0.997961401939,0.982812702656,0.783353626728,0.813701927662,0.248626381159,0.712598443031,"[[2528  546]
 [  72  182]]"
True,172,same,sigmoid,sgd,1,76,0.005,0.01,0.01,[1],264,50,50,0.0,False,tanh,relu,64,0.435276657343,0.834818005562,0.857426047325,0.802147448063,0.477338433266,0.787860631943,0.220987662673,0.704724431038,"[[2438  636]
 [  76  178]]"
False,232,same,sigmoid,adam,2,60,0.0025,0.1,0.01,"[1, 1]",290,70,50,0.01,False,tanh,relu,64,1.54348862171,0.498685777187,0.498685777187,1.0,1.68033146858,0.0751201957464,0.0751201957464,1.0,"[[   0 3074]
 [   0  254]]"
True,160,same,sigmoid,sgd,1,64,0.005,0.0001,0.0,[1],286,78,50,0.0,False,relu,relu,128,0.205410853028,0.928835690022,0.971798479557,0.882918536663,0.372103273869,0.829927921295,0.264487355947,0.714859485626,"[[2579  495]
 [  72  182]]"
True,268,same,sigmoid,adam,2,72,0.0025,0.001,0.1,"[1, 1]",268,66,50,0.001,False,relu,tanh,256,10.5723838806,0.79736328125,0.892145454884,0.675203204155,10.4193086624,0.871886134148,0.341772168875,0.658536612988,"[[2738  336]
 [  86  168]]"
