optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
rmsprop,5,0.001,50,64,False,260,same,sigmoid,0.3,0.0001,90,62,0.3,"[1, 1, 1, 1, 1]",softmax,0.867362737656,0.508336722851,0.0,0.0,0.867725610733,0.499743878841,0.0,0.0
sgd,3,0.0001,50,128,False,230,same,sigmoid,0.001,0.1,54,14,0.3,"[1, 4, 8]",relu,11.0085706711,0.497617840767,0.490201443434,0.559372365475,11.0074415207,0.501152694225,0.491148412228,0.56693738699
sgd,1,0.01,50,256,True,180,same,sigmoid,0.0001,0.01,34,64,0.01,[1],sigmoid,0.694147348404,0.507786810398,0.0,0.0,0.693945288658,0.51302087307,0.0,0.0
sgd,2,0.1,50,64,False,190,same,sigmoid,0.1,0.01,56,26,0.0,"[1, 1]",relu,0.91926497221,0.51764523983,0.504644453526,0.975842118263,0.919613361359,0.52305328846,0.512678742409,0.971625745296
sgd,1,0.01,50,256,False,220,same,sigmoid,0.01,0.01,52,56,0.0,[1],relu,0.693208634853,0.57283103466,0.539671480656,0.891421437263,0.692571759224,0.576171934605,0.542769551277,0.888507246971
sgd,5,0.01,50,128,False,190,same,sigmoid,0.2,0.01,34,60,0.3,"[1, 0.5, 0.25, 0.25, 0.5]",tanh,3.00883221626,0.508222341537,0.0,0.0,3.00871658325,0.511014401913,0.0,0.0
adam,4,0.001,50,128,False,160,same,sigmoid,0.1,0.01,34,42,0.1,"[1, 0.5, 0.25, 0.25]",relu,,,,,,,,
sgd,1,0.1,50,256,True,120,same,sigmoid,0.0001,0.0001,82,56,0.001,[1],tanh,0.700234889984,0.508557796478,0.503344476223,0.0471910126507,0.70025229454,0.503776073456,0.457534253597,0.0441798940301
sgd,5,0.001,50,64,False,170,same,sigmoid,0.0001,0.01,74,64,0.01,"[1, 1, 1, 1, 1]",relu,0.754138708115,0.508669197559,0.0,0.0,0.754070699215,0.510630130768,0.0,0.0
sgd,1,0.001,50,256,True,210,same,sigmoid,0.1,0.01,96,38,0.0,[1],tanh,2.11100959778,0.504779994488,0.493428498507,0.29651132226,2.11254787445,0.501692712307,0.488277733326,0.286887437105
sgd,4,0.0001,50,128,True,120,same,sigmoid,0.01,0.001,42,62,0.01,"[1, 0.5, 0.25, 0.25]",relu,44.1269378662,0.514036893845,0.503241062164,0.845941305161,44.1253738403,0.521516442299,0.50678306818,0.850117743015
sgd,4,0.1,50,128,True,170,same,sigmoid,0.01,0.0001,26,34,0.1,"[1, 1, 1, 1]",tanh,0.709090650082,0.532146513462,0.512396931648,0.963305175304,0.707952618599,0.532914996147,0.513249635696,0.959082663059
