optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,1,0.1,50,64,True,285,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.119271762669,0.957034230232,0.951659560204,0.962042808533,0.21152189374,0.930925250053,0.924085736275,0.937563955784
sgd,1,0.5,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,,,,,,,,
sgd,1,1.0,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,,,,,,,,
sgd,1,0.05,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.0671614706516,0.977439820766,0.984703421593,0.969470322132,0.289814472198,0.948669195175,0.958387851715,0.937052190304
sgd,1,10.0,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,,,,,,,,
sgd,1,0.01,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.0686513260007,0.983624875546,0.983553647995,0.983352065086,0.229795366526,0.948669195175,0.951068758965,0.944984614849
sgd,1,0.001,50,64,True,290,same,sigmoid,0.1,0.0001,52,74,0.001,[1],relu,0.346027374268,0.908441066742,0.983116686344,0.829218327999,0.439180701971,0.891761720181,0.967830896378,0.808341860771
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,1e-05,52,74,0.001,[1],relu,0.0639618337154,0.978352367878,0.978470385075,0.977768659592,0.249542176723,0.93954372406,0.945237517357,0.931934475899
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.01,52,74,0.001,[1],relu,0.137980490923,0.958783268929,0.978349208832,0.937455177307,0.239624962211,0.937262356281,0.958366930485,0.912998974323
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,5e-05,52,74,0.001,[1],relu,,,,,,,,
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,1e-06,52,74,0.001,[1],relu,0.0726671293378,0.981571614742,0.984482169151,0.978178441525,0.248764157295,0.942078590393,0.948531329632,0.933725655079
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.001,52,74,0.001,[1],relu,0.0672962889075,0.976958215237,0.981179893017,0.972082734108,0.252121835947,0.942078590393,0.949934840202,0.932190358639
sgd,1,0.1,50,64,True,290,same,sigmoid,0.1,0.0005,52,74,0.001,[1],relu,,,,,,,,
