optimizer,num_channels,learning_rate,epochs,batch_size,use_residuals,use_bottleneck,shortcut_activation,reg_shortcut,reg_module,output_activation,num_filters,nr_modules,module_output_activation,module_activation,l2_r,l1_r,kernel_size,bottleneck_size,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall,train_f1,val_f1
rmsprop,3.0,0.01,100,512,True,True,softmax,True,True,sigmoid,42,1,relu,sigmoid,0.0,0.01,60,42,17.2300891876,0.491330593824,0.491355031729,1.0,17.2302570343,0.489583343267,0.489583343267,1.0,0.658937706013,0.657342666297
adam,3.0,0.01,100,512,True,True,sigmoid,True,True,sigmoid,34,12,linear,tanh,0.0001,0.1,40,28,230.555053711,0.0,0.508821070194,0.0,230.555099487,0.0,0.510416686535,0.0,0.0,0.0
adam,3.0,0.001,75,512,False,False,relu,False,True,sigmoid,40,12,linear,sigmoid,0.01,0.1,20,28,136.151153564,0.0,0.509045183659,0.0,136.151107788,0.0,0.510416686535,0.0,0.0,0.0
sgd,3.0,0.001,75,512,False,True,tanh,True,False,sigmoid,38,1,sigmoid,relu,0.1,0.0,20,40,0.693159282207,0.497632652521,0.507332205772,0.397677600384,0.69295245409,0.491471886635,0.50382488966,0.387965410948,0.445861807942,0.438369043102
sgd,3.0,0.001,100,1024,True,True,tanh,True,False,sigmoid,32,9,sigmoid,softmax,0.01,0.001,30,26,12.1788377762,0.497747600079,0.506083488464,0.753614187241,12.1798362732,0.496084392071,0.504557311535,0.758144974709,0.605528936332,0.605887221969
rmsprop,3.0,0.001,100,512,True,True,softmax,False,True,sigmoid,40,15,relu,softmax,0.01,0.0001,50,36,0.804064273834,0.508731782436,0.523789703846,0.849048614502,0.80780673027,0.496834814548,0.505208313465,0.834940135479,0.647888271178,0.629510406884
rmsprop,3.0,0.001,100,256,False,True,relu,False,True,sigmoid,24,9,softmax,softmax,0.001,0.0001,40,42,0.732720911503,0.0,0.509109258652,0.0,0.732659995556,0.0,0.510416686535,0.0,0.0,0.0
rmsprop,3.0,0.01,100,128,True,True,tanh,True,True,sigmoid,40,9,linear,sigmoid,0.01,0.01,20,30,85.1351394653,0.49068570137,0.49068570137,1.0,85.1350097656,0.490335047245,0.490335047245,1.0,0.658335557816,0.658019883719
adam,3.0,0.01,100,512,True,False,relu,True,True,sigmoid,40,1,tanh,relu,0.001,0.1,60,38,2892.69506836,0.0,0.509077250957,0.0,2892.69628906,0.0,0.510416686535,0.0,0.0,0.0
sgd,3.0,0.001,75,1536,True,True,sigmoid,False,True,sigmoid,26,6,softmax,sigmoid,0.0,0.1,40,36,3.50924181938,0.491490393877,0.503043591976,0.370729118586,3.50925183296,0.489556133747,0.502604186535,0.374002665281,0.426868235204,0.428870262549
rmsprop,3.0,0.001,100,512,False,True,relu,False,True,sigmoid,32,15,tanh,sigmoid,0.001,0.01,60,30,9.46973514557,0.0,0.508837103844,0.0,9.46954250336,0.0,0.510416686535,0.0,0.0,0.0
adam,3.0,0.01,75,256,False,False,relu,False,False,sigmoid,42,1,tanh,linear,0.1,0.001,40,36,0.712520420551,1.0,0.50938141346,0.000456620997284,0.711374938488,0.75,0.510579407215,0.000498670211527,0.000912424077029,0.000996367295891
rmsprop,3.0,0.001,100,512,True,True,tanh,True,False,sigmoid,32,12,linear,linear,0.01,0.001,40,38,1.32558071613,0.570469796658,0.509493470192,0.00554088829085,1.32477462292,0.552238821983,0.510986328125,0.0061502661556,0.0109625556305,0.0121542430166
sgd,3.0,0.1,100,128,True,False,softmax,False,False,sigmoid,44,1,tanh,tanh,0.01,0.01,60,40,0.682195782661,0.530960559845,0.538199782372,0.509241759777,0.683719575405,0.530706226826,0.53865981102,0.511005282402,0.523320478056,0.52446825292
adam,3.0,0.01,100,512,True,True,tanh,False,False,sigmoid,38,1,tanh,sigmoid,0.01,0.01,40,34,0.683737814426,0.535256385803,0.510790228844,0.0272270776331,0.684549987316,0.518404901028,0.511393249035,0.0280917547643,0.0516984306919,0.0532579539332
rmsprop,3.0,0.01,100,512,True,False,tanh,True,True,sigmoid,44,6,softmax,softmax,0.1,0.1,20,28,5511.12988281,1.0,0.508564949036,6.51486989227e-05,5511.13525391,1.0,0.510498046875,0.000166223398992,0.000130280708495,0.000332338585133
sgd,3.0,0.001,100,1024,False,True,softmax,True,False,sigmoid,36,12,relu,tanh,0.0,0.0,50,28,0.697825968266,0.491563141346,0.491563141346,1.0,0.698120117188,0.489583343267,0.489583343267,1.0,0.659124817073,0.657342666297
rmsprop,3.0,0.01,100,512,True,True,softmax,True,True,sigmoid,40,6,softmax,softmax,0.0,0.0001,60,30,1.32031273842,0.0,0.5087890625,0.0,1.32013046741,0.0,0.510416686535,0.0,0.0,0.0
adam,3.0,0.001,75,512,True,True,softmax,True,False,sigmoid,38,21,tanh,softmax,0.001,0.0001,30,32,0.706195056438,0.0,0.509317338467,0.0,0.706108033657,0.0,0.510416686535,0.0,0.0,0.0
rmsprop,3.0,0.001,100,512,True,True,softmax,False,True,sigmoid,40,6,sigmoid,relu,0.01,0.0,20,38,0.691458523273,0.509174108505,0.521916627884,0.729303181171,0.693681001663,0.502078533173,0.513346374035,0.722739338875,0.608423003324,0.600307268515
rmsprop,3.0,0.001,75,512,False,False,tanh,True,True,sigmoid,34,15,relu,softmax,0.0,0.01,20,26,28.8349151611,0.0,0.509285330772,0.0,28.834859848,0.0,0.510416686535,0.0,0.0,0.0
sgd,3.0,0.001,75,512,True,False,softmax,True,True,sigmoid,28,1,linear,sigmoid,0.001,0.0,20,32,0.925444602966,0.492391705513,0.499983996153,0.590780138969,0.925637483597,0.493611097336,0.5029296875,0.590757966042,0.541603093132,0.543317314203
adam,3.0,0.01,75,128,True,True,softmax,False,True,sigmoid,32,18,linear,relu,0.001,0.0,40,26,0.88260871172,0.0,0.509362220764,0.0,0.882396817207,0.0,0.509664952755,0.0,0.0,0.0
