batch_size,epochs,learning_rate,num_channels,optimizer,bottleneck_size,kernel_size,module_activation,module_output_activation,nr_modules,num_filters,output_activation,shortcut_activation,use_bottleneck,use_residuals,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
256,200,0.01,3,adam,38,30,sigmoid,linear,12,40,sigmoid,tanh,True,False,0.4949377775192261,0.6774796843528748,0.6744495630264282,0.970927119255066,0.5541433691978455,0.6698262095451355,0.666917085647583,0.9709182381629944
256,350,0.01,3,rmsprop,38,50,softmax,linear,9,34,sigmoid,relu,True,True,0.1591937392950058,0.9678679704666138,0.9397490620613098,0.940291166305542,0.3969312310218811,0.8964768052101135,0.8375901579856873,0.8506984114646912
1024,250,1e-05,3,rmsprop,32,20,tanh,linear,9,40,sigmoid,softmax,False,False,,,,,,,,
256,100,0.0001,3,rmsprop,36,30,relu,sigmoid,12,40,sigmoid,sigmoid,True,True,,,,,,,,
256,100,1e-05,3,sgd,30,30,tanh,relu,6,40,sigmoid,softmax,False,True,0.6938155889511108,0.8717948794364929,0.3378200232982635,0.0012070005759596,0.6937772035598755,1.0,0.346590906381607,0.0009049773798324
1024,100,0.0001,3,rmsprop,34,20,sigmoid,sigmoid,6,28,sigmoid,softmax,True,True,0.5447919368743896,0.6636801362037659,0.6638004779815674,0.9999641180038452,0.5766306519508362,0.6547808051109314,0.6546630859375,0.99962717294693
128,100,0.0001,3,adam,24,40,sigmoid,linear,12,24,sigmoid,softmax,True,False,0.2419669181108474,0.9321141242980956,0.9089796543121338,0.9303928017616272,0.37253537774086,0.8937636017799377,0.8602036237716675,0.892307698726654
256,100,0.001,3,rmsprop,26,40,tanh,softmax,12,38,sigmoid,tanh,False,True,0.5381253957748413,0.7989094257354736,0.7369634509086609,0.8061126470565796,0.5825009346008301,0.7648959159851074,0.6954308748245239,0.7714027166366577
1024,100,0.001,3,adam,26,30,relu,tanh,3,36,sigmoid,relu,True,False,0.5943934917449951,0.6624428629875183,0.6624428629875183,1.0,0.604057252407074,0.65478515625,0.65478515625,1.0
256,100,0.01,3,sgd,24,50,sigmoid,relu,12,40,sigmoid,softmax,True,True,0.639043390750885,0.6628859043121338,0.6628859043121338,1.0,0.6447575092315674,0.6540009379386902,0.6540009379386902,1.0
128,100,0.01,3,sgd,36,30,relu,sigmoid,12,36,sigmoid,sigmoid,True,True,0.6360713839530945,0.6627682447433472,0.6627682447433472,1.0,0.6426982879638672,0.6540009379386902,0.6540009379386902,1.0
256,100,0.001,3,adam,24,50,sigmoid,tanh,3,38,sigmoid,sigmoid,False,False,0.0199596993625164,0.9973263740539552,0.993928849697113,0.9935014247894288,0.4087406396865845,0.9203046560287476,0.8816288113594055,0.896651566028595
